Epoch: 1, G_loss: 1.62840, D_loss: 0.67707, D_fake_mean: 0.26975, D_real_acc: 90.000%, D_fake_acc: 89.000%
Epoch: 2, G_loss: 3.65836, D_loss: 0.09384, D_fake_mean: 0.04342, D_real_acc: 98.000%, D_fake_acc: 99.000%
Epoch: 3, G_loss: 4.67995, D_loss: 0.03090, D_fake_mean: 0.01440, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 4, G_loss: 3.20027, D_loss: 0.28940, D_fake_mean: 0.10192, D_real_acc: 94.000%, D_fake_acc: 97.000%
Epoch: 5, G_loss: 2.34006, D_loss: 0.46722, D_fake_mean: 0.16733, D_real_acc: 90.000%, D_fake_acc: 94.000%
Epoch: 6, G_loss: 2.05018, D_loss: 0.62579, D_fake_mean: 0.21048, D_real_acc: 85.000%, D_fake_acc: 89.000%
Epoch: 7, G_loss: 1.70565, D_loss: 0.80901, D_fake_mean: 0.26676, D_real_acc: 79.000%, D_fake_acc: 84.000%
Epoch: 8, G_loss: 1.55427, D_loss: 0.87946, D_fake_mean: 0.29363, D_real_acc: 78.000%, D_fake_acc: 81.000%
Epoch: 9, G_loss: 1.43501, D_loss: 0.95226, D_fake_mean: 0.31819, D_real_acc: 76.000%, D_fake_acc: 79.000%
Epoch: 10, G_loss: 1.32078, D_loss: 1.01676, D_fake_mean: 0.34188, D_real_acc: 75.000%, D_fake_acc: 76.000%
Epoch: 11, G_loss: 1.20052, D_loss: 1.01194, D_fake_mean: 0.35806, D_real_acc: 75.000%, D_fake_acc: 76.000%
Epoch: 12, G_loss: 1.15306, D_loss: 1.04754, D_fake_mean: 0.36583, D_real_acc: 73.000%, D_fake_acc: 76.000%
Epoch: 13, G_loss: 1.14905, D_loss: 1.05802, D_fake_mean: 0.36953, D_real_acc: 73.000%, D_fake_acc: 75.000%
Epoch: 14, G_loss: 1.15493, D_loss: 1.07264, D_fake_mean: 0.37112, D_real_acc: 73.000%, D_fake_acc: 74.000%
Epoch: 15, G_loss: 1.19296, D_loss: 1.06075, D_fake_mean: 0.36277, D_real_acc: 73.000%, D_fake_acc: 75.000%
Epoch: 16, G_loss: 1.27044, D_loss: 1.01879, D_fake_mean: 0.34535, D_real_acc: 74.000%, D_fake_acc: 77.000%
Epoch: 17, G_loss: 1.22770, D_loss: 1.02971, D_fake_mean: 0.35377, D_real_acc: 74.000%, D_fake_acc: 76.000%
Epoch: 18, G_loss: 1.19246, D_loss: 1.05445, D_fake_mean: 0.36184, D_real_acc: 73.000%, D_fake_acc: 75.000%
Epoch: 19, G_loss: 1.16466, D_loss: 1.06435, D_fake_mean: 0.36831, D_real_acc: 73.000%, D_fake_acc: 75.000%
Epoch: 20, G_loss: 1.15716, D_loss: 1.07541, D_fake_mean: 0.36986, D_real_acc: 72.000%, D_fake_acc: 74.000%
Epoch: 21, G_loss: 1.13004, D_loss: 1.07752, D_fake_mean: 0.37438, D_real_acc: 72.000%, D_fake_acc: 74.000%
Epoch: 22, G_loss: 1.13440, D_loss: 1.09480, D_fake_mean: 0.37678, D_real_acc: 71.000%, D_fake_acc: 73.000%
Epoch: 23, G_loss: 1.13069, D_loss: 1.10882, D_fake_mean: 0.37948, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 24, G_loss: 1.13154, D_loss: 1.14415, D_fake_mean: 0.38111, D_real_acc: 69.000%, D_fake_acc: 72.000%
Epoch: 25, G_loss: 1.09607, D_loss: 1.14915, D_fake_mean: 0.39014, D_real_acc: 69.000%, D_fake_acc: 71.000%
Epoch: 26, G_loss: 1.07867, D_loss: 1.16631, D_fake_mean: 0.39327, D_real_acc: 68.000%, D_fake_acc: 71.000%
Epoch: 27, G_loss: 1.04295, D_loss: 1.17552, D_fake_mean: 0.40197, D_real_acc: 68.000%, D_fake_acc: 70.000%
Epoch: 28, G_loss: 1.02971, D_loss: 1.19798, D_fake_mean: 0.40686, D_real_acc: 67.000%, D_fake_acc: 69.000%
Epoch: 29, G_loss: 1.02210, D_loss: 1.20195, D_fake_mean: 0.40780, D_real_acc: 67.000%, D_fake_acc: 69.000%
Epoch: 30, G_loss: 1.00556, D_loss: 1.21234, D_fake_mean: 0.41310, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 31, G_loss: 1.03749, D_loss: 1.21067, D_fake_mean: 0.40635, D_real_acc: 67.000%, D_fake_acc: 69.000%
Epoch: 32, G_loss: 1.01255, D_loss: 1.22452, D_fake_mean: 0.41291, D_real_acc: 66.000%, D_fake_acc: 68.000%
Epoch: 33, G_loss: 1.00093, D_loss: 1.23773, D_fake_mean: 0.41480, D_real_acc: 65.000%, D_fake_acc: 68.000%
Epoch: 34, G_loss: 0.98489, D_loss: 1.24357, D_fake_mean: 0.41994, D_real_acc: 65.000%, D_fake_acc: 67.000%
Epoch: 35, G_loss: 0.96379, D_loss: 1.25803, D_fake_mean: 0.42311, D_real_acc: 64.000%, D_fake_acc: 67.000%
Epoch: 36, G_loss: 0.95917, D_loss: 1.24685, D_fake_mean: 0.42364, D_real_acc: 65.000%, D_fake_acc: 67.000%
Epoch: 37, G_loss: 0.97379, D_loss: 1.24772, D_fake_mean: 0.42219, D_real_acc: 64.000%, D_fake_acc: 67.000%
Epoch: 38, G_loss: 0.94327, D_loss: 1.24694, D_fake_mean: 0.42765, D_real_acc: 65.000%, D_fake_acc: 66.000%
Epoch: 39, G_loss: 0.94200, D_loss: 1.24378, D_fake_mean: 0.42798, D_real_acc: 64.000%, D_fake_acc: 67.000%
Epoch: 40, G_loss: 0.93512, D_loss: 1.24018, D_fake_mean: 0.42918, D_real_acc: 65.000%, D_fake_acc: 66.000%
Epoch: 41, G_loss: 0.93660, D_loss: 1.23757, D_fake_mean: 0.42807, D_real_acc: 65.000%, D_fake_acc: 67.000%
Epoch: 42, G_loss: 0.95300, D_loss: 1.23697, D_fake_mean: 0.42567, D_real_acc: 65.000%, D_fake_acc: 66.000%
Epoch: 43, G_loss: 0.95837, D_loss: 1.23438, D_fake_mean: 0.42262, D_real_acc: 65.000%, D_fake_acc: 68.000%
Epoch: 44, G_loss: 0.94162, D_loss: 1.22796, D_fake_mean: 0.42569, D_real_acc: 65.000%, D_fake_acc: 68.000%
Epoch: 45, G_loss: 0.96110, D_loss: 1.23371, D_fake_mean: 0.42198, D_real_acc: 65.000%, D_fake_acc: 68.000%
Epoch: 46, G_loss: 0.96719, D_loss: 1.22225, D_fake_mean: 0.41986, D_real_acc: 65.000%, D_fake_acc: 68.000%
