Epoch: 1, G_loss: 1.47142, D_loss: 0.68102, D_fake_mean: 0.28037, D_real_acc: 89.000%, D_fake_acc: 90.000%
Epoch: 2, G_loss: 3.14016, D_loss: 0.16591, D_fake_mean: 0.07102, D_real_acc: 97.000%, D_fake_acc: 99.000%
Epoch: 3, G_loss: 4.46213, D_loss: 0.04542, D_fake_mean: 0.01958, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 4, G_loss: 5.65523, D_loss: 0.01677, D_fake_mean: 0.00678, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 5, G_loss: 6.73870, D_loss: 0.00529, D_fake_mean: 0.00191, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 6, G_loss: 7.24914, D_loss: 0.00294, D_fake_mean: 0.00138, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 7, G_loss: 7.50062, D_loss: 0.00324, D_fake_mean: 0.00132, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 8, G_loss: 7.00439, D_loss: 0.00476, D_fake_mean: 0.00200, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 9, G_loss: 4.42667, D_loss: 0.17118, D_fake_mean: 0.06484, D_real_acc: 97.000%, D_fake_acc: 97.000%
Epoch: 10, G_loss: 1.95990, D_loss: 0.66732, D_fake_mean: 0.22861, D_real_acc: 85.000%, D_fake_acc: 88.000%
Epoch: 11, G_loss: 1.56386, D_loss: 0.81500, D_fake_mean: 0.28612, D_real_acc: 81.000%, D_fake_acc: 83.000%
Epoch: 12, G_loss: 1.37440, D_loss: 0.95150, D_fake_mean: 0.32423, D_real_acc: 76.000%, D_fake_acc: 79.000%
Epoch: 13, G_loss: 1.24098, D_loss: 1.04126, D_fake_mean: 0.35403, D_real_acc: 72.000%, D_fake_acc: 76.000%
Epoch: 14, G_loss: 1.17317, D_loss: 1.07811, D_fake_mean: 0.36707, D_real_acc: 71.000%, D_fake_acc: 75.000%
Epoch: 15, G_loss: 1.17356, D_loss: 1.06329, D_fake_mean: 0.36577, D_real_acc: 72.000%, D_fake_acc: 75.000%
Epoch: 16, G_loss: 1.14516, D_loss: 1.09345, D_fake_mean: 0.37449, D_real_acc: 71.000%, D_fake_acc: 74.000%
Epoch: 17, G_loss: 1.10600, D_loss: 1.15691, D_fake_mean: 0.38931, D_real_acc: 69.000%, D_fake_acc: 71.000%
Epoch: 18, G_loss: 1.06239, D_loss: 1.20463, D_fake_mean: 0.40120, D_real_acc: 67.000%, D_fake_acc: 69.000%
Epoch: 19, G_loss: 1.03148, D_loss: 1.20737, D_fake_mean: 0.40714, D_real_acc: 66.000%, D_fake_acc: 68.000%
Epoch: 20, G_loss: 1.00817, D_loss: 1.21955, D_fake_mean: 0.41174, D_real_acc: 65.000%, D_fake_acc: 68.000%
Epoch: 21, G_loss: 0.96790, D_loss: 1.22289, D_fake_mean: 0.41931, D_real_acc: 65.000%, D_fake_acc: 68.000%
Epoch: 22, G_loss: 0.96443, D_loss: 1.23006, D_fake_mean: 0.42082, D_real_acc: 65.000%, D_fake_acc: 68.000%
Epoch: 23, G_loss: 0.96050, D_loss: 1.26362, D_fake_mean: 0.42538, D_real_acc: 64.000%, D_fake_acc: 66.000%
Epoch: 24, G_loss: 0.93664, D_loss: 1.25750, D_fake_mean: 0.43023, D_real_acc: 64.000%, D_fake_acc: 66.000%
Epoch: 25, G_loss: 0.94929, D_loss: 1.24681, D_fake_mean: 0.42575, D_real_acc: 65.000%, D_fake_acc: 67.000%
Epoch: 26, G_loss: 0.95793, D_loss: 1.23006, D_fake_mean: 0.42194, D_real_acc: 65.000%, D_fake_acc: 68.000%
Epoch: 27, G_loss: 0.97494, D_loss: 1.21554, D_fake_mean: 0.41702, D_real_acc: 66.000%, D_fake_acc: 68.000%
Epoch: 28, G_loss: 0.96877, D_loss: 1.21137, D_fake_mean: 0.41825, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 29, G_loss: 0.98484, D_loss: 1.22035, D_fake_mean: 0.41530, D_real_acc: 66.000%, D_fake_acc: 68.000%
Epoch: 30, G_loss: 0.96501, D_loss: 1.21106, D_fake_mean: 0.41992, D_real_acc: 66.000%, D_fake_acc: 68.000%
Epoch: 31, G_loss: 0.97126, D_loss: 1.20710, D_fake_mean: 0.41612, D_real_acc: 67.000%, D_fake_acc: 69.000%
Epoch: 32, G_loss: 0.96722, D_loss: 1.20381, D_fake_mean: 0.41789, D_real_acc: 67.000%, D_fake_acc: 69.000%
Epoch: 33, G_loss: 0.97916, D_loss: 1.19086, D_fake_mean: 0.41481, D_real_acc: 68.000%, D_fake_acc: 69.000%
Epoch: 34, G_loss: 0.98220, D_loss: 1.17929, D_fake_mean: 0.41264, D_real_acc: 68.000%, D_fake_acc: 70.000%
Epoch: 35, G_loss: 0.99563, D_loss: 1.16926, D_fake_mean: 0.40917, D_real_acc: 68.000%, D_fake_acc: 70.000%
Epoch: 36, G_loss: 0.99897, D_loss: 1.17025, D_fake_mean: 0.40970, D_real_acc: 68.000%, D_fake_acc: 70.000%
Epoch: 37, G_loss: 1.00122, D_loss: 1.17796, D_fake_mean: 0.40935, D_real_acc: 68.000%, D_fake_acc: 70.000%
Epoch: 38, G_loss: 0.99495, D_loss: 1.19211, D_fake_mean: 0.41233, D_real_acc: 68.000%, D_fake_acc: 69.000%
Epoch: 39, G_loss: 0.98950, D_loss: 1.20250, D_fake_mean: 0.41397, D_real_acc: 67.000%, D_fake_acc: 69.000%
Epoch: 40, G_loss: 0.96694, D_loss: 1.20859, D_fake_mean: 0.41969, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 41, G_loss: 0.96381, D_loss: 1.20963, D_fake_mean: 0.42069, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 42, G_loss: 0.95042, D_loss: 1.20878, D_fake_mean: 0.42278, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 43, G_loss: 0.95284, D_loss: 1.21703, D_fake_mean: 0.42241, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 44, G_loss: 0.94872, D_loss: 1.21732, D_fake_mean: 0.42348, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 45, G_loss: 0.96401, D_loss: 1.21291, D_fake_mean: 0.41939, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 46, G_loss: 0.97054, D_loss: 1.20594, D_fake_mean: 0.41778, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 47, G_loss: 0.97390, D_loss: 1.20717, D_fake_mean: 0.41710, D_real_acc: 67.000%, D_fake_acc: 69.000%
Epoch: 48, G_loss: 0.96189, D_loss: 1.21129, D_fake_mean: 0.42071, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 49, G_loss: 0.96455, D_loss: 1.21016, D_fake_mean: 0.42022, D_real_acc: 67.000%, D_fake_acc: 68.000%
Epoch: 50, G_loss: 0.97671, D_loss: 1.21580, D_fake_mean: 0.41727, D_real_acc: 66.000%, D_fake_acc: 68.000%
Test epoch, G_loss: 0.90016, D_loss: 1.27633, D_fake_mean: 0.44070, D_real_acc: 61.000%, D_fake_acc: 64.000%
